Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.549999999999997,9.0,1
Ethiopia,10.148300170897997,0.3650283813475994,0.0,1.7999999999999972,-4.800000000000001,-5.699999999999989,-3.3999999999999915,-0.5,0.0,1.1500000000000004,0.0,1
Europe & Central Asia,0.0,0.0,0.0,0.0,-0.8999999999999999,-1.5,-2.200000000000001,0.0,0.0,0.0,0.0,1
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.099999999999998,0.0,5.460000000000008,-1.0,1
Finland,2.406021118164503,42.183494567870994,-6.829437255859418,-0.5999999999999979,0.1,0.0,0.1,-1.3000000000000007,-2.2,0.0,0.0,0
Fragile and conflict affected situations,0.0,0.0,0.0,0.0,-3.3999999999999986,-0.19999999999999574,2.299999999999997,0.0,0.0,0.0,0.0,1
France,0.0,0.0,0.0,-1.0,0.0,0.1,0.0,-1.0,-1.6000000000000005,-0.009999999999990905,0.0,1
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29999999999999893,0.0,3.9399999999999977,5.0,1
Gambia,7.205001831054702,0.0,0.0,-7.700000000000003,-15.099999999999998,-15.100000000000001,-8.0,-0.5,0.0,-5.090000000000003,0.0,1
Georgia,6.861671447754006,0.0,14.497848510742106,-3.0,-8.3,-14.900000000000002,-16.0,-0.10000000000000142,0.10000000000000142,-1.2700000000000102,10.0,2
Germany,1.2815399169920028,-1.318305969237997,0.0,1.5,0.0,-0.2,0.0,-0.5999999999999996,-1.1000000000000005,0.0,0.0,1
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.299999999999997,3.1999999999999993,7.0,1
Greece,0.0,0.0,0.0,1.8999999999999986,0.3999999999999999,1.5999999999999999,4.6,-0.5999999999999996,-2.4000000000000004,0.5400000000000063,0.0,1
Grenada,1.49257659912098,-8.619400024414205,0.0,0.0,0.0,0.0,0.0,-2.1999999999999993,0.0,-1.0,-2.0,1
Guatemala,-15.2158203125,2.4838294982909943,0.0,0.0,0.0,0.0,0.0,0.0,-3.799999999999997,0.3200000000000074,3.0,1
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-21.400000000000006,3.789999999999999,0.0,1
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6999999999999993,0.0,2.8999999999999986,0.0,1
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5999999999999979,0.0,2.069999999999993,10.0,1
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.399999999999999,-11.299999999999997,5.34,0.0,1
High income,0.2955245971680114,5.696617126465,0.7716140747071023,0.0,0.09999999999999998,0.0,-0.09999999999999987,0.0,0.0,0.0,0.0,1
Honduras,-5.86891937255902,-1.8610076904297017,1.4051799774169993,-3.3000000000000043,0.7999999999999989,1.8000000000000007,1.8999999999999986,-0.3000000000000007,0.0,5.159999999999997,7.0,1
"Hong Kong SAR, China",0.0,12.822334289550298,9.9886474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Hungary,-0.4664535522460085,5.269592285156094,-9.506019592285206,1.0,0.5,0.8,0.20000000000000018,-0.8999999999999986,4.900000000000002,-0.010000000000005116,0.0,1
IDA total,0.0,0.0,0.0,0.0,-4.799999999999997,-5.299999999999997,-2.700000000000003,0.0,0.0,0.0,0.0,1
